hash,id,fecha_vencimiento,divisa,nombre_cliente,fecha_emision,importe,concepto
"fsabv-2507##morpheus aiolos, s.l.",fsabv-2507,2022-11-04,EUR,"morpheus aiolos, s.l.",2022-11-04,"-3,63",app afterbanks nov 2022
"fsabv-2433##29 ecologica, s.l.u.",fsabv-2433,2023-01-25,EUR,"29 ecologica, s.l.u.",2022-10-25,"-3,3",kilos de carton
fsabv-2375##sv internet s.l,fsabv-2375,2022-11-04,EUR,sv internet s.l,2022-10-04,"-2,9",hosting dns ba0630 (04/10/2022-03/11/2022)
fsabv-2508##sv internet s.l,fsabv-2508,2022-12-05,EUR,sv internet s.l,2022-11-04,"-2,9",hosting dns ba0630 (04/11/2022-03/12/2022)
"fsabv-2496##telefonica moviles espana, s.a.",fsabv-2496,2022-11-01,EUR,"telefonica moviles espana, s.a.",2022-11-01,-1,movil: 618652532 o2 nov 2022
"fsabv-2634##telefonica moviles espana, s.a.",fsabv-2634,2022-12-01,EUR,"telefonica moviles espana, s.a.",2022-12-01,-1,movil: 618652532 o2 dic 2022
"fsabv-2497##telefonica moviles espana, s.a.",fsabv-2497,2022-11-01,EUR,"telefonica moviles espana, s.a.",2022-11-01,"-0,24",movil: o2 oct 2022
iva##nan,iva,2022-10-20,EUR,,2022-10-01,0,"pago irpf 111, 115, 123 2022q3"
"fsabv-2436##monday by urbania 4, s.l.",fsabv-2436,2022-11-05,EUR,"monday by urbania 4, s.l.",2022-10-26,"1,45",abono parking sep 2022
"fsabv-2437##monday by urbania 4, s.l.",fsabv-2437,2022-11-05,EUR,"monday by urbania 4, s.l.",2022-10-26,"1,45",abono parking sep 2022
"fsabv-2258##monday by urbania 4, s.l.",fsabv-2258,2022-09-05,EUR,"monday by urbania 4, s.l.",2022-09-05,"2,9",abono parking ago 2022
"fve-12851##equipzilla, s.l.",fve-12851,2022-09-15,EUR,"equipzilla, s.l.",2022-08-31,"36,3",servicios espacio de trabajo ago 2022
"fve-12853##equipzilla, s.l.",fve-12853,2022-10-15,EUR,"equipzilla, s.l.",2022-09-30,"36,3",servicios espacio de trabajo sep 2022
"fve-12855##equipzilla, s.l.",fve-12855,2022-11-30,EUR,"equipzilla, s.l.",2022-10-31,"36,3",servicios espacio de trabajo oct 2022
feqz-85##gam espana servicios de maquinaria s.l.u.,feqz-85,2021-12-01,EUR,gam espana servicios de maquinaria s.l.u.,2021-11-01,"106,61",pack leads
"fve-12850##property technology services, s.l.",fve-12850,2022-09-15,EUR,"property technology services, s.l.",2022-08-31,"108,9",servicios espacio de trabajo ago 2022
"fve-12852##property technology services, s.l.",fve-12852,2022-10-15,EUR,"property technology services, s.l.",2022-09-30,"108,9",servicios espacio de trabajo sep 2022
"fve-12854##property technology services, s.l.",fve-12854,2022-11-30,EUR,"property technology services, s.l.",2022-10-31,"108,9",servicios espacio de trabajo oct 2022
feqz-74##gam espana servicios de maquinaria s.l.u.,feqz-74,2021-08-02,EUR,gam espana servicios de maquinaria s.l.u.,2021-07-01,"124,58",pack leads
feqz-75##gam espana servicios de maquinaria s.l.u.,feqz-75,2021-09-01,EUR,gam espana servicios de maquinaria s.l.u.,2021-08-01,"137,76",pack leads
fvi-47##medios,fvi-47,2023-03-06,EUR,medios,2022-12-06,2200,servicios soporte mexico 2022
fvi-44##test empresa s.a s.a. de c.v.,fvi-44,2022-12-30,EUR,test empresa s.a s.a. de c.v.,2022-09-30,9200,servicios direccion q2 2022
fvi-45##eloelo,fvi-45,2022-12-01,EUR,eloelo,2022-10-01,"14943,98",servicios holding septiembre 2022
fvi-48##maks inventada sl,fvi-48,2023-02-07,EUR,maks inventada sl,2022-12-07,15000,costes estructura q2/q3 2022
fvi-43##eloelo,fvi-43,2022-11-30,EUR,eloelo,2022-09-30,"21288,02",servicios holding trimestre 3
fvi-46##eloelo,fvi-46,2023-01-30,EUR,eloelo,2022-11-29,"24653,99",servicios holding octubre
